ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-167409,MapQuest,201,2,12/2/2016 8:48,12/2/2016 9:33,38.596725,-90.473892,,,0.01,Right lane blocked due to accident on MO-100 Manchester Rd at Barrett Station Rd.,,Manchester Rd,R,Saint Louis,St. Louis County,MO,63131,US,US/Central,KSTL,12/2/2016 8:51,37.9,34.4,68,30.29,10,West,4.6,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-167410,MapQuest,201,3,12/2/2016 8:50,12/2/2016 9:50,38.743683,-90.395531,,,0.01,Left lane blocked due to accident on I-70 Eastbound at Exits 235A 235B US-67 Lindbergh Blvd.,,N Lindbergh Blvd,R,Bridgeton,St. Louis County,MO,63044,US,US/Central,KSTL,12/2/2016 8:51,37.9,34.4,68,30.29,10,West,4.6,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167411,MapQuest,201,3,12/2/2016 8:53,12/2/2016 9:38,38.749611,-90.338348,,,0.01,Accident on I-170 Southbound near Exits 9A 9B Airport Rd.,,I-170 S,R,Saint Louis,St. Louis County,MO,63134,US,US/Central,KSTL,12/2/2016 8:51,37.9,34.4,68,30.29,10,West,4.6,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167412,MapQuest,201,2,12/2/2016 9:00,12/2/2016 9:59,38.673035,-90.204185,,,0.01,Express lane blocked due to accident on I-70 Eastbound at Exit 247 Grand Blvd.,,E Grand Ave,R,Saint Louis,St. Louis City,MO,63147,US,US/Central,KSTL,12/2/2016 8:51,37.9,34.4,68,30.29,10,West,4.6,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167439,MapQuest,201,3,12/2/2016 17:06,12/2/2016 17:36,38.686436,-90.354271,,,0.01,Accident on I-170 Northbound at Exit 4 Page Ave.,,Page Ave,R,Saint Louis,St. Louis County,MO,63114,US,US/Central,KSTL,12/2/2016 16:51,44.1,40.8,53,30.33,10,NNE,5.8,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-167445,MapQuest,241,2,12/2/2016 17:55,12/2/2016 18:24,38.861855,-90.22377,,,0.01,Right lane blocked due to accident on MO-94 at US-67.,,US Highway 67,R,West Alton,St. Charles,MO,63386,US,US/Central,KALN,12/2/2016 17:45,37.4,,75,30.32,10,Calm,,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
A-167459,MapQuest,201,2,12/2/2016 21:22,12/2/2016 21:52,38.723907,-90.65979,,,0.01,Right lane closed due to accident on MO-94 Westbound after Breeze Dr.,,S Highway 94,R,Saint Charles,St. Charles,MO,63304,US,US/Central,KSUS,12/2/2016 20:54,30.9,,89,30.37,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167460,MapQuest,201,3,12/2/2016 22:51,12/2/2016 23:21,38.753883,-90.454407,,,0.01,Right lane closed due to accident on I-70 Eastbound after Exits 231A 231B MO-141 Earth City Expy.,,I-70 E,R,Maryland Heights,St. Louis County,MO,63043,US,US/Central,KSTL,12/2/2016 22:51,35.1,,72,30.39,10,Calm,,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167462,MapQuest,241,3,12/3/2016 7:08,12/3/2016 7:38,38.614002,-90.197304,,,0.01,Left lane blocked due to accident on I-44 Westbound at 7th Blvd.,,I-44 W,R,Saint Louis,St. Louis City,MO,63104,US,US/Central,KCPS,12/3/2016 6:53,28.9,,89,30.38,9,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167468,MapQuest,241,3,12/3/2016 18:05,12/3/2016 18:35,38.710907,-90.285759,,,0.01,1right lane blocked due to accident on I-70 Eastbound at Exit 241B Lucas and Hunt Rd.,,Lucas and Hunt Rd,R,Saint Louis,St. Louis County,MO,63121,US,US/Central,KSTL,12/3/2016 17:51,42.1,37.7,65,30.3,10,ESE,6.9,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-167473,MapQuest,241,3,12/4/2016 8:49,12/4/2016 9:34,38.767078,-90.182312,,,0.01,One lane blocked due to accident on I-270 Eastbound at Exit 34 Riverview Dr.,,I-270 W,R,Saint Louis,St. Louis City,MO,63138,US,US/Central,KSTL,12/4/2016 8:51,37.9,34.4,86,30.04,2.5,East,4.6,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167476,MapQuest,241,3,12/4/2016 17:39,12/4/2016 18:08,38.56266,-90.439293,,,0.01,One lane blocked due to accident on I-270 Northbound at Exits 5A 5B I-44.,,I-270 N,R,Saint Louis,St. Louis County,MO,63122,US,US/Central,KSTL,12/4/2016 17:51,39.9,33.9,79,30.01,10,WNW,9.2,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-167494,MapQuest,201,3,12/5/2016 7:52,12/5/2016 8:21,38.60376,-90.450554,,,0.01,Center lane blocked due to accident on I-270 Northbound before Exit 9 MO-100 Manchester Rd.,,I-270 N,R,Saint Louis,St. Louis County,MO,63131,US,US/Central,KSTL,12/5/2016 7:51,37.9,32.7,83,30.07,7,SSE,6.9,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167497,MapQuest,247,3,12/5/2016 8:29,12/5/2016 8:59,38.778313,-90.359932,,,0.01,Delays and center lane blocked due to accident on I-270 Eastbound at Exit 25 US-67 Lindbergh Blvd.,,I-270 W,R,Hazelwood,St. Louis County,MO,63042,US,US/Central,KSTL,12/5/2016 8:28,39,34.8,82,30.04,8,SE,5.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167498,MapQuest,201,3,12/5/2016 8:33,12/5/2016 9:03,38.591576,-90.214447,,,0.01,Accident on I-55 Northbound at Exit 206B Cherokee St.,,S Broadway,R,Saint Louis,St. Louis City,MO,63118,US,US/Central,KCPS,12/5/2016 8:21,39.9,35.8,83,30.05,10,SE,5.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167519,MapQuest,201,3,12/5/2016 10:56,12/5/2016 11:26,38.551987,-90.280182,,,0.01,Right hand shoulder blocked due to accident on I-55 Southbound at Exit 201B Weber Rd.,3882,Weber Rd,L,Saint Louis,Saint Louis,MO,63125-1167,US,US/Central,KCPS,12/5/2016 10:53,41,38,79,30.04,10,East,4.6,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167558,MapQuest,201,3,12/5/2016 18:40,12/5/2016 19:10,38.655407,-90.448257,,,0.01,Lane blocked on entry ramp due to accident on I-270 Southbound at Exit 13 MO-AB.,,Ladue Rd,R,Saint Louis,St. Louis County,MO,63141,US,US/Central,KSTL,12/5/2016 18:51,39.9,32.9,79,29.88,10,ESE,11.5,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167576,MapQuest,201,3,12/6/2016 8:47,12/6/2016 9:31,38.60994,-90.209175,,,0.01,Right hand shoulder blocked due to accident on I-44 Northbound before Exits 290A 290B 290C I-55.,,I-44 E,R,Saint Louis,St. Louis City,MO,63104,US,US/Central,KCPS,12/6/2016 8:53,39.9,32.5,83,29.85,9,NNW,12.7,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167585,MapQuest,201,3,12/6/2016 9:34,12/6/2016 10:20,38.41555,-90.388817,,,0.01,Accident on I-55 Southbound before Exit 190 Richardson Rd.,,I-55 N,R,Arnold,Jefferson,MO,63010,US,US/Central,KCPS,12/6/2016 9:53,39.9,32.5,79,29.88,10,NW,12.7,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167586,MapQuest,201,3,12/6/2016 9:29,12/6/2016 10:14,38.629108,-90.319801,,,0.01,Accident on I-64 Eastbound before Exits 33A 33B Big Bend Blvd.,,Big Bend Blvd,R,Saint Louis,St. Louis County,MO,63117,US,US/Central,KSTL,12/6/2016 9:51,41,34.7,76,29.9,9,NW,10.4,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-167603,MapQuest,245,3,12/6/2016 11:45,12/6/2016 12:30,38.777859,-90.389488,,,0.01,Two lanes blocked due to accident on I-270 Eastbound at Exit 23 James S McDonnell Blvd.,,James S McDonnell Blvd,R,Hazelwood,St. Louis County,MO,63042,US,US/Central,KSTL,12/6/2016 11:51,41,33.5,73,29.94,9,NW,13.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167604,MapQuest,245,3,12/6/2016 11:50,12/6/2016 12:35,38.660851,-90.357643,,,0.01,Two lanes blocked due to accident on I-170 Inner Belt Southbound before Exit 2 McKnight Rd.,,Inner Belt S,R,Saint Louis,St. Louis County,MO,63132,US,US/Central,KSTL,12/6/2016 11:51,41,33.5,73,29.94,9,NW,13.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167608,MapQuest,201,3,12/6/2016 13:43,12/6/2016 14:12,38.749611,-90.338348,,,0.01,Right hand shoulder blocked due to accident on I-170 Northbound before Exits 9A 9B Airport Rd.,,I-170 S,R,Saint Louis,St. Louis County,MO,63134,US,US/Central,KSTL,12/6/2016 13:51,42.1,34.5,73,29.96,9,WNW,15,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167629,MapQuest,201,3,12/6/2016 19:20,12/6/2016 19:49,38.714451,-90.447556,,,0.01,Accident on I-270 Northbound at Exit 17 Dorsett Rd.,,I-270 S,R,Maryland Heights,St. Louis County,MO,63043,US,US/Central,KSTL,12/6/2016 18:51,37.9,30.5,57,30.08,10,West,11.5,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167637,MapQuest,201,2,12/6/2016 21:59,12/6/2016 22:28,38.77063,-90.238884,,,0.01,Right lane closed due to accident on MO-367 Lewis and Clark Blvd Southbound at I-270.,,I-270 E,R,Saint Louis,St. Louis County,MO,63136,US,US/Central,KSTL,12/6/2016 21:51,35.1,28.6,57,30.14,10,NW,8.1,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167643,MapQuest,201,3,12/7/2016 7:47,12/7/2016 8:32,38.442059,-90.379898,,,0.01,Right lane blocked due to accident on I-55 Northbound at Exit 191 MO-141.,,I-55 N,R,Arnold,Jefferson,MO,63010,US,US/Central,KCPS,12/7/2016 7:53,32,28.7,59,30.23,10,SW,3.5,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-167644,MapQuest,201,3,12/7/2016 7:46,12/7/2016 8:31,38.46172,-90.374016,,,0.01,Accident on I-55 Northbound at Exit 193 Meramec Bottom Rd.,,I-55 S,R,Saint Louis,St. Louis County,MO,63128,US,US/Central,KCPS,12/7/2016 7:53,32,28.7,59,30.23,10,SW,3.5,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167650,MapQuest,201,3,12/7/2016 8:14,12/7/2016 8:44,38.720852,-90.30574,,,0.01,Left hand shoulder blocked due to accident on I-70 Westbound after Exits 239 240 241A Hanley Rd.,,S Florissant Rd,R,Saint Louis,St. Louis County,MO,63121,US,US/Central,KSTL,12/7/2016 7:51,33.1,27.7,52,30.24,10,WSW,5.8,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-167653,MapQuest,201,3,12/7/2016 8:52,12/7/2016 9:51,38.66037,-90.568268,,,0.01,Left lane blocked due to accident on I-64 Eastbound at Exit 19A Outer 40.,,US-40 E,R,Chesterfield,St. Louis County,MO,63017,US,US/Central,KSUS,12/7/2016 8:54,32,28.7,64,30.25,10,West,3.5,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167698,MapQuest,201,3,12/7/2016 16:32,12/7/2016 17:01,38.620068,-90.189575,,,0.01,Right hand shoulder blocked due to accident on I-55 Northbound at I-64.,,I-44 E,R,Saint Louis,St. Louis City,MO,63102,US,US/Central,KCPS,12/7/2016 16:53,37,32.4,46,30.26,10,WSW,5.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167702,MapQuest,201,2,12/7/2016 17:04,12/7/2016 17:34,38.518612,-90.627579,,,0.01,Accident on MO-109 Southbound at Emerald View Pkwy.,4442,Highway 109,R,Eureka,Saint Louis,MO,63025-1247,US,US/Central,KSUS,12/7/2016 16:54,35.1,30.1,50,30.29,10,West,5.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-167722,MapQuest,201,3,12/8/2016 8:08,12/8/2016 8:52,38.629108,-90.319801,,,0.01,Two left lane closed due to accident on I-64 Westbound at Exits 33A 33B Big Bend Blvd.,,Big Bend Blvd,R,Saint Louis,St. Louis County,MO,63117,US,US/Central,KSTL,12/8/2016 7:51,21.9,7.8,60,30.5,10,WNW,17.3,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-167725,MapQuest,201,3,12/8/2016 8:53,12/8/2016 9:37,38.655407,-90.448257,,,0.01,Accident on I-270 Southbound at Exit 13 MO-AB.,,Ladue Rd,R,Saint Louis,St. Louis County,MO,63141,US,US/Central,KSTL,12/8/2016 8:51,24.1,9,55,30.52,10,WNW,21.9,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167726,MapQuest,245,3,12/8/2016 8:53,12/8/2016 9:38,38.636414,-90.394073,,,0.01,Two lanes blocked due to accident on I-64 Westbound at Exit 28B Clayton Rd.,,US-40 W,R,Saint Louis,St. Louis County,MO,63124,US,US/Central,KSTL,12/8/2016 8:51,24.1,9,55,30.52,10,WNW,21.9,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167727,MapQuest,201,2,12/8/2016 8:49,12/8/2016 9:34,38.708229,-90.345718,,,0.01,Accident on MO-180 Saint Charles Rock Rd at McKibbon Rd.,2934,McKibbon Rd,R,Saint Louis,Saint Louis,MO,63114-4924,US,US/Central,KSTL,12/8/2016 8:51,24.1,9,55,30.52,10,WNW,21.9,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167747,MapQuest,245,3,12/8/2016 11:44,12/8/2016 12:29,38.646549,-90.348717,,,0.01,Two lanes blocked due to accident on I-170 Inner Belt Northbound at Exit 1E Forest Park Pkwy.,,Inner Belt N,R,Saint Louis,St. Louis County,MO,63124,US,US/Central,KSTL,12/8/2016 11:51,28.9,16.9,47,30.54,10,WNW,17.3,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-167766,MapQuest,241,3,12/8/2016 16:39,12/8/2016 17:09,38.778267,-90.360611,,,0.01,Left lane blocked due to accident on I-270 Eastbound at Exit 25 US-67 Lindbergh Blvd.,,I-270 E,R,Hazelwood,St. Louis County,MO,63042,US,US/Central,KSTL,12/8/2016 16:51,27,17.3,51,30.58,10,WNW,10.4,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-167775,MapQuest,241,3,12/8/2016 17:46,12/8/2016 18:16,38.671646,-90.449265,,,0.01,One lane blocked due to accident on I-270 Southbound at Exit 14 MO-340 Olive Blvd.,,I-270 S,R,Saint Louis,St. Louis County,MO,63141,US,US/Central,KSTL,12/8/2016 17:51,26.1,17.6,53,30.6,10,WNW,8.1,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-167776,MapQuest,201,3,12/8/2016 17:46,12/8/2016 18:16,38.748371,-90.439545,,,0.01,Accident on I-270 Northbound at Exits 20B-20A 20C I-70.,,I-270 N,R,Maryland Heights,St. Louis County,MO,63043,US,US/Central,KSTL,12/8/2016 17:51,26.1,17.6,53,30.6,10,WNW,8.1,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-167793,MapQuest,245,3,12/8/2016 19:30,12/8/2016 20:00,38.635479,-90.40564,,,0.01,Two lanes blocked due to accident on I-64 Westbound at Exit 28A US-67 Lindbergh Blvd.,,S Lindbergh Blvd,R,Saint Louis,St. Louis County,MO,63131,US,US/Central,KSTL,12/8/2016 19:51,26.1,15.6,53,30.63,10,WNW,11.5,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-167794,MapQuest,241,3,12/8/2016 19:32,12/8/2016 20:01,38.686436,-90.354271,,,0.01,One lane blocked due to accident on I-170 Northbound at Exit 4 Page Ave.,,Page Ave,R,Saint Louis,St. Louis County,MO,63114,US,US/Central,KSTL,12/8/2016 19:51,26.1,15.6,53,30.63,10,WNW,11.5,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167795,MapQuest,201,3,12/8/2016 19:31,12/8/2016 20:01,38.629688,-90.344955,,,0.01,Accident on I-64 Eastbound near Exit 31A I-170 Inner Belt.,,US-40 E,R,Saint Louis,St. Louis County,MO,63144,US,US/Central,KSTL,12/8/2016 19:51,26.1,15.6,53,30.63,10,WNW,11.5,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-167796,MapQuest,201,2,12/8/2016 19:34,12/8/2016 20:03,38.727943,-90.222824,,,0.01,Right hand shoulder blocked due to accident on Riverview Dr Northbound at Hall St. Emergency vehicles at scene.,,Hall St,R,Saint Louis,St. Louis City,MO,63137,US,US/Central,KSTL,12/8/2016 19:51,26.1,15.6,53,30.63,10,WNW,11.5,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
